amfi_code,scheme_name,fund_house,category,sub_category,risk_category,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,ret_ann_pct,vol_ann_pct,sharpe_ratio,sortino_ratio,alpha_annualized,alpha_pct,beta,r_squared,p_value,max_drawdown_pct,peak_date,trough_date,score_3yr,score_sharpe,score_alpha,score_expense,score_max_dd,composite_score,fund_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,Moderate,1.46,4.458868017651851,25.12746964341592,20.462186043324394,19.345399235710925,12.025007220633226,1.0682238272314732,1.6088160445087478,0.2698375144191807,26.98375144191807,0.023683558075848623,0.0004625436906623847,0.46642651975427474,-11.265729075028275,2023-07-11,2023-10-20,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128204,85.9,1
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,Moderately High,1.45,25.057035735243872,21.66999341232414,20.419887254007207,19.490975224138804,13.454333708270202,0.9655606517440118,1.4912612450422562,0.27330465038306057,27.330465038306055,-0.02282956979242654,0.00034305434271514465,0.5305284121437438,-12.97396816518679,2022-03-07,2022-04-13,87.17948717948718,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,82.31,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,High,1.38,35.724198361105294,24.407712694865257,19.92165534178685,19.455820981566937,16.029119278668055,0.8082678003905592,1.207163296240015,0.2719535450128533,27.19535450128533,0.0051035258305283104,1.2066520635068168e-05,0.9063691402409378,-16.217208574644847,2022-03-13,2022-05-12,92.3076923076923,84.61538461538461,87.17948717948718,58.97435897435898,51.28205128205128,80.26,3
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Moderate,1.54,32.86672094461422,28.56016945105937,17.161430066431983,16.518798671520766,11.63654183022033,0.8609773262277756,1.3126560267544425,0.23201007160635082,23.201007160635083,-0.03175144113890972,0.0008869788879322809,0.3131430272308455,-15.012385498645331,2023-08-24,2024-02-05,100.0,89.74358974358975,76.92307692307693,24.358974358974358,58.97435897435898,77.37,4
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,High,1.36,27.483328767838387,15.722309332335872,21.635659017888685,20.9245787807528,16.331148626873556,0.883255618469884,1.33612866427574,0.2926358334175106,29.26358334175106,0.000549004250631712,1.3455341675668847e-07,0.990090235690614,-18.188513572116292,2024-10-24,2025-01-23,69.23076923076923,92.3076923076923,94.87179487179486,64.1025641025641,38.46153846153847,76.28,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,High,1.38,21.259874836943627,21.294442058061968,18.705211486277374,18.498961473769388,16.42463139678321,0.7305467735561727,1.10165734136949,0.2607666908004223,26.07666908004223,-0.06626542862803757,0.001936878936960232,0.13598752352498472,-20.960883862039193,2022-04-14,2022-08-11,84.61538461538461,79.48717948717949,79.48717948717949,58.97435897435898,30.76923076923077,73.08,6
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,High,1.6,40.286907598243225,20.890367973052104,21.080437600362288,20.253117366629514,14.96454949053764,0.919046535635828,1.3970204175029586,0.2827036785246582,28.27036785246582,0.018133884083859245,0.00017488886568129566,0.6542952865906952,-16.39674294693263,2023-08-10,2023-10-20,82.05128205128204,94.87179487179486,92.3076923076923,8.974358974358974,48.717948717948715,73.01,7
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,High,1.61,11.010465604482334,24.693333598123644,19.576760600828425,19.012349884465205,15.02289807114623,0.8328852279505966,1.229791316659539,0.26598577542043045,26.598577542043046,-0.002523004664699247,3.357978192008859e-06,0.9505247706268661,-17.24810575345138,2022-06-06,2022-10-24,94.87179487179486,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,72.05,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,Moderate,1.6,37.51661842669647,22.39773848038009,15.701133043947246,15.347166831278516,12.332110247769963,0.717408995989017,1.0802639063120392,0.21399784776051212,21.399784776051213,0.02108631625012803,0.0003480482030714251,0.5275509209180677,-11.291596329323072,2023-04-24,2023-07-05,89.74358974358975,76.92307692307693,71.7948717948718,8.974358974358974,79.48717948717949,69.81,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Very High,1.43,39.919172191468945,18.93418846260404,21.38037125961776,21.639807381226877,21.27303133602435,0.7116901743847245,1.0682054572673187,0.3033696538698332,30.336965386983323,-0.023196062044059693,0.0001414257550272171,0.6871791461096047,-28.706005721764548,2024-08-28,2025-05-14,79.48717948717949,69.23076923076923,100.0,48.717948717948715,10.256410256410255,69.49,10
